fluxo,tipo_transacao,titulo,nome_beneficiario,valor
Ação,asc,34,,
Ação,Integrarte,34,,
Ação,Integrarte,34,,
Mensalidade,Creagesdfas,5461651,,
Ação,ds,asdf,,
Mensalidade,asda,.!entry3,,
Conta de Água,Integrarte,.!entry3,,
Internet,Integrarte,.!entry3,,
basdfasd,Integrarte,5446,,
Mensalidade,asdfsadf,3432,,
Mensalidade,kjlk,58,,
,Conta de Água,Integrarte,,Conta Bancária/pix
,Mensalidade,,,Conta Bancária/pix
Entrada,Dinheiro,Mensalidade,,
Entrada,Conta Bancária/pix,Doação,,
Entrada,Conta Bancária/pix,Mensalidade,teste,132.0
Saída,Dinheiro,Pagamento Professores,Integrarte,
